央视频道,#genre#
CCTV-17 农业农村,http://219.147.200.9:18080/newlive/live/hls/17/live.m3u8$219.147.200.9:18080
怀旧剧场,http://42.48.17.204:808/hls/112/index.m3u8$42.48.17.204:808
风云足球,http://123.189.36.186:9901/tsfile/live/1122_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
文化精品,http://42.48.17.204:808/hls/107/index.m3u8$42.48.17.204:808
世界地理,http://42.48.17.204:808/hls/109/index.m3u8$42.48.17.204:808
武术世界,http://42.48.17.204:808/hls/119/index.m3u8$42.48.17.204:808
央视台球,http://42.48.17.204:808/hls/108/index.m3u8$42.48.17.204:808
高尔夫网球,http://42.48.17.204:808/hls/111/index.m3u8$42.48.17.204:808
文物宝库,http://42.48.17.204:808/hls/120/index.m3u8$42.48.17.204:808
CHC影迷电影,http://42.48.17.204:808/hls/64/index.m3u8$42.48.17.204:808
CHC影迷电影,http://123.189.36.186:9901/tsfile/live/1104_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
CHC动作电影,http://42.48.17.204:808/hls/65/index.m3u8$42.48.17.204:808
CHC动作电影,http://123.189.36.186:9901/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
CHC家庭影院,http://42.48.17.204:808/hls/63/index.m3u8$42.48.17.204:808
CHC家庭影院,http://110.189.102.15:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901

卫视频道,#genre#
北京卫视,http://42.48.17.204:808/hls/44/index.m3u8$42.48.17.204:808
北京卫视,http://222.134.245.16:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
北京卫视,http://111.160.17.2:59902/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
北京卫视,http://110.189.102.15:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
北京卫视,http://58.51.111.46:1111/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
北京卫视,http://58.220.219.14:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$58.220.219.14:9901
北京卫视,http://223.151.49.74:59901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
北京卫视,http://202.100.46.58:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0$202.100.46.58:9901
北京卫视,http://223.241.247.214:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$223.241.247.214:85
北京卫视,http://123.189.36.186:9901/tsfile/live/1151_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
湖南卫视,http://222.134.245.16:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
湖南卫视,http://112.123.206.32:808/hls/28/index.m3u8$112.123.206.32:808
湖南卫视,http://42.48.17.204:808/hls/28/index.m3u8$42.48.17.204:808
湖南卫视,http://58.245.97.28:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0$58.245.97.28:9901
湖南卫视,http://58.51.111.46:1111/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
湖南卫视,http://110.189.102.15:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
湖南卫视,http://223.151.49.74:59901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
湖南卫视,http://223.241.247.214:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$223.241.247.214:85
湖南卫视,http://123.189.36.186:9901/tsfile/live/1143_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
湖南卫视,http://202.100.46.58:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0$202.100.46.58:9901
东方卫视,http://111.160.17.2:59902/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
东方卫视,http://110.189.102.15:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
东方卫视,http://222.134.245.16:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
东方卫视,http://58.245.97.28:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0$58.245.97.28:9901
东方卫视,http://42.48.17.204:808/hls/46/index.m3u8$42.48.17.204:808
东方卫视,http://58.51.111.46:1111/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
东方卫视,http://61.138.54.155:2233/hls/46/index.m3u8$61.138.54.155:2233
东方卫视,http://113.57.93.165:9900/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$113.57.93.165:9900
东方卫视,http://202.100.46.58:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0$202.100.46.58:9901
东方卫视,http://223.241.247.214:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$223.241.247.214:85
四川卫视,http://222.134.245.16:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
四川卫视,http://58.245.97.28:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0$58.245.97.28:9901
四川卫视,http://110.189.102.15:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
四川卫视,http://58.51.111.46:1111/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
四川卫视,http://58.220.219.14:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0$58.220.219.14:9901
四川卫视,http://119.163.199.98:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0$119.163.199.98:9901
四川卫视,http://123.189.36.186:9901/tsfile/live/1130_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
